Pfam ID	number of PDBx structures	Family description
PF00090	32	Thrombospondin type 1 domain
PF16863	31	N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase
PF13859	31	BNR repeat-like domain
PF13614	31	AAA domain
PF13603	31	Leucyl-tRNA synthetase, Domain 2
PF13530	31	Sterol carrier protein domain
PF10409	31	C2 domain of PTEN tumour-suppressor protein
PF09458	31	H-type lectin domain
PF08915	31	Archaea-specific editing domain of threonyl-tRNA synthetase
PF08341	31	Thioester domain
PF08123	31	Histone methylation protein DOT1 
PF07675	31	Cleaved Adhesin Domain
PF04818	31	RNA polymerase II-binding domain.
PF04199	31	Putative cyclase
PF04072	31	Leucine carboxyl methyltransferase
PF03947	31	Ribosomal Proteins L2, C-terminal domain
PF03180	31	NLPA lipoprotein
PF01852	31	START domain
PF01409	31	tRNA synthetases class II core domain (F)
PF01302	31	CAP-Gly domain
PF01290	31	Thymosin beta-4 family
PF01228	31	Glycine radical
PF00982	31	Glycosyltransferase family 20
PF00475	31	Imidazoleglycerol-phosphate dehydratase
PF00467	31	KOW motif
PF00249	31	Myb-like DNA-binding domain
PF00226	31	DnaJ domain
PF00182	31	Chitinase class I
PF00010	31	Helix-loop-helix DNA-binding domain
PF14322	30	Starch-binding associating with outer membrane
PF13176	30	Tetratricopeptide repeat
PF11976	30	Ubiquitin-2 like Rad60 SUMO-like
PF09261	30	Alpha mannosidase middle domain
PF08666	30	SAF domain
PF07748	30	Glycosyl hydrolases family 38 C-terminal domain
PF07045	30	Domain of unknown function (DUF1330)
PF06722	30	Protein of unknown function (DUF1205)
PF04030	30	D-arabinono-1,4-lactone oxidase 
PF03443	30	Glycosyl hydrolase family 61
PF03133	30	Tubulin-tyrosine ligase family
PF02928	30	C5HC2 zinc finger
PF02880	30	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
PF02879	30	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
PF02787	30	Carbamoyl-phosphate synthetase large chain, oligomerisation domain
PF02760	30	HIN-200/IF120x domain
PF02275	30	Linear amide C-N hydrolases, choloylglycine hydrolase family
PF01855	30	Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg
PF01612	30	3'-5' exonuclease
PF01555	30	DNA methylase
PF01227	30	GTP cyclohydrolase I
PF01193	30	RNA polymerase Rpb3/Rpb11 dimerisation domain
PF01074	30	Glycosyl hydrolases family 38 N-terminal domain
PF01000	30	RNA polymerase Rpb3/RpoA insert domain
PF00988	30	Carbamoyl-phosphate synthase small chain, CPSase domain
PF00755	30	Choline/Carnitine o-acyltransferase
PF00716	30	Assemblin (Peptidase family S21)
PF00708	30	Acylphosphatase
PF00699	30	Urease beta subunit
PF00449	30	Urease alpha-subunit, N-terminal domain
PF17205	29	Integrin plexin domain
PF13680	29	Protein of unknown function (DUF4152)
PF13174	29	Tetratricopeptide repeat
PF11629	29	C terminal SARAH domain of Mst1
PF10569	29	Alpha-macro-globulin thiol-ester bond-forming region
PF09360	29	Iron-binding zinc finger CDGSH type
PF08931	29	Receptor-binding protein of phage tail base-plate Siphoviridae, head
PF08840	29	BAAT / Acyl-CoA thioester hydrolase C terminal
PF08321	29	PPP5 TPR repeat region
PF07678	29	A-macroglobulin complement component
PF07221	29	N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)
PF05239	29	PRC-barrel domain
PF04952	29	Succinylglutamate desuccinylase / Aspartoacylase family
PF02882	29	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
PF02854	29	MIF4G domain
PF02762	29	CBL proto-oncogene N-terminus, SH2-like domain
PF02761	29	CBL proto-oncogene N-terminus, EF hand-like domain
PF02664	29	S-Ribosylhomocysteinase (LuxS)
PF02262	29	CBL proto-oncogene N-terminal domain 1
PF02127	29	Aminopeptidase I zinc metalloprotease (M18)
PF01884	29	PcrB family
PF01841	29	Transglutaminase-like superfamily
PF01747	29	ATP-sulfurylase
PF01725	29	Ham1 family
PF01653	29	NAD-dependent DNA ligase adenylation domain
PF01320	29	Colicin immunity protein / pyocin immunity protein
PF01312	29	FlhB HrpN YscU SpaS Family
PF01031	29	Dynamin central region
PF00917	29	MATH domain
PF00871	29	Acetokinase family
PF00763	29	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00642	29	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF00640	29	Phosphotyrosine interaction domain (PTB/PID)
PF00594	29	Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain
PF00321	29	Plant thionin
PF00298	29	Ribosomal protein L11, RNA binding domain
PF17147	28	Pyruvate:ferredoxin oxidoreductase core domain II
PF14396	28	Cystic fibrosis TM conductance regulator (CFTR), regulator domain
PF12872	28	OST-HTH/LOTUS domain
PF09009	28	Exotoxin A catalytic
PF08205	28	CD80-like C2-set immunoglobulin domain 
PF08029	28	HisG, C-terminal domain
PF07737	28	Anthrax toxin lethal factor, N- and C-terminal domain
PF07701	28	Heme NO binding associated
PF06438	28	Heme-binding protein A (HasA)
PF05362	28	Lon protease (S16) C-terminal proteolytic domain
PF04717	28	Type VI secretion system, phage-baseplate injector
PF04075	28	F420H(2)-dependent quinone reductase
PF02901	28	Pyruvate formate lyase-like
PF02733	28	Dak1 domain
PF02645	28	Uncharacterised protein, DegV family COG1307
PF02412	28	Thrombospondin type 3 repeat
PF02359	28	Cell division protein 48 (CDC48), N-terminal domain
PF01977	28	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PF01843	28	DIL domain
PF01554	28	MatE
PF01204	28	Trehalase
PF01088	28	Ubiquitin carboxyl-terminal hydrolase, family 1
PF01022	28	Bacterial regulatory protein, arsR family
PF00996	28	GDP dissociation inhibitor
PF00990	28	Diguanylate cyclase, GGDEF domain
PF00673	28	ribosomal L5P family C-terminus
PF00362	28	Integrin beta chain VWA domain
PF00281	28	Ribosomal protein L5
PF00252	28	Ribosomal protein L16p/L10e
PF00174	28	Oxidoreductase molybdopterin binding domain
PF16187	27	Middle or third domain of peptidase_M16
PF13905	27	Thioredoxin-like
PF13825	27	Paramyxovirus structural protein V/P N-terminus
PF13621	27	Cupin-like domain
PF13343	27	Bacterial extracellular solute-binding protein
PF11477	27	Sialyltransferase PMO188
PF08945	27	Bcl-x interacting, BH3 domain
PF08526	27	Protein-arginine deiminase (PAD) N-terminal domain
PF07736	27	Chorismate mutase type I
PF06941	27	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)
PF06087	27	Tyrosyl-DNA phosphodiesterase
PF05932	27	Tir chaperone protein (CesT) family
PF04561	27	RNA polymerase Rpb2, domain 2
PF03737	27	Aldolase/RraA
PF03702	27	Anhydro-N-acetylmuramic acid kinase
PF03259	27	Roadblock/LC7 domain
PF02617	27	ATP-dependent Clp protease adaptor protein ClpS
PF02153	27	Prephenate dehydrogenase
PF01903	27	CbiX
PF01411	27	tRNA synthetases class II (A)
PF01392	27	Fz domain
PF01264	27	Chorismate synthase
PF00742	27	Homoserine dehydrogenase
PF00711	27	Beta defensin
PF00350	27	Dynamin family
PF15519	26	linker between RRM2 and RRM3 domains in RBM39 protein
PF14765	26	Polyketide synthase dehydratase
PF13246	26	Cation transport ATPase (P-type)
PF13185	26	GAF domain
PF13086	26	AAA domain
PF12847	26	Methyltransferase domain
PF12327	26	FtsZ family, C-terminal domain
PF12142	26	Polyphenol oxidase middle domain
PF11896	26	Domain of unknown function (DUF3416)
PF10459	26	Peptidase S46
PF10411	26	Disulfide bond isomerase protein N-terminus
PF08713	26	DNA alkylation repair enzyme
PF08527	26	Protein-arginine deiminase (PAD) middle domain
PF08267	26	Cobalamin-independent synthase, N-terminal domain
PF07978	26	NIPSNAP 
PF07647	26	SAM domain (Sterile alpha motif)
PF07470	26	Glycosyl Hydrolase Family 88
PF05544	26	Proline racemase
PF04542	26	Sigma-70 region 2 
PF04335	26	VirB8 protein
PF03551	26	Transcriptional regulator PadR-like family
PF03105	26	SPX domain
PF02933	26	Cell division protein 48 (CDC48), domain 2
PF02793	26	Hormone receptor domain
PF02239	26	Cytochrome D1 heme domain
PF01997	26	Translin family
PF01960	26	ArgJ family
PF01808	26	AICARFT/IMPCHase bienzyme
PF01797	26	Transposase IS200 like
PF01739	26	CheR methyltransferase, SAM binding domain
PF01717	26	Cobalamin-independent synthase, Catalytic domain
PF01426	26	BAH domain
PF01218	26	Coproporphyrinogen III oxidase
PF01008	26	Initiation factor 2 subunit family
PF00717	26	Peptidase S24-like
PF00690	26	Cation transporter/ATPase, N-terminus
PF00689	26	Cation transporting ATPase, C-terminus
PF00040	26	Fibronectin type II domain
PF00038	26	Intermediate filament protein
PF17290	25	Arenavirus nucleocapsid C-terminal domain
PF16177	25	Acetyl-coenzyme A synthetase N-terminus
PF13848	25	Thioredoxin-like domain
PF13560	25	Helix-turn-helix domain
PF10590	25	Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region
PF09349	25	OHCU decarboxylase
PF08441	25	Integrin alpha
PF07934	25	8-oxoguanine DNA glycosylase, N-terminal domain
PF07467	25	Beta-lactamase inhibitor (BLIP)
PF06439	25	Domain of Unknown Function (DUF1080)
PF06234	25	Toluene-4-monooxygenase system protein B (TmoB)
PF06165	25	Glycosyltransferase family 36
PF04509	25	CheC-like family
PF03996	25	Hemagglutinin esterase
PF03572	25	Peptidase family S41
PF03055	25	Retinal pigment epithelial membrane protein
PF03051	25	Peptidase C1-like family
PF02884	25	Polysaccharide lyase family 8, C-terminal beta-sandwich domain
PF02710	25	Hemagglutinin domain of haemagglutinin-esterase-fusion glycoprotein
PF02635	25	DsrE/DsrF-like family
PF02597	25	ThiS family
PF02458	25	Transferase family
PF02446	25	4-alpha-glucanotransferase
PF02350	25	UDP-N-acetylglucosamine 2-epimerase
PF02278	25	Polysaccharide lyase family 8, super-sandwich domain
PF02110	25	Hydroxyethylthiazole kinase family
PF01974	25	tRNA intron endonuclease, catalytic C-terminal domain
PF01784	25	NIF3 (NGG1p interacting factor 3)
PF01642	25	Methylmalonyl-CoA mutase
PF01576	25	Myosin tail
PF01483	25	Proprotein convertase P-domain
PF01388	25	ARID/BRIGHT DNA binding domain
PF01225	25	Mur ligase family, catalytic domain
PF01131	25	DNA topoisomerase
PF00658	25	Poly-adenylate binding protein, unique domain
PF00627	25	UBA/TS-N domain
PF00621	25	RhoGEF domain
PF00393	25	6-phosphogluconate dehydrogenase, C-terminal domain
PF00327	25	Ribosomal protein L30p/L7e
PF00181	25	Ribosomal Proteins L2, RNA binding domain
PF13793	24	N-terminal domain of ribose phosphate pyrophosphokinase
PF13654	24	AAA domain
PF13404	24	AsnC-type helix-turn-helix domain
PF13238	24	AAA domain
PF11969	24	Scavenger mRNA decapping enzyme C-term binding
PF10564	24	Sialic-acid binding micronemal adhesive repeat
PF09408	24	Spike receptor binding domain
PF09134	24	Invasin, domain 3
PF08767	24	CRM1 C terminal
PF08443	24	RimK-like ATP-grasp domain
PF08124	24	Polysaccharide lyase family 8, N terminal alpha-helical domain
PF07943	24	Penicillin-binding protein 5, C-terminal domain
PF07715	24	TonB-dependent Receptor Plug Domain
PF07238	24	PilZ domain
PF06968	24	Biotin and Thiamin Synthesis associated domain
PF06766	24	Fungal hydrophobin
PF06004	24	Bacterial protein of unknown function (DUF903)
PF05523	24	WxcM-like, C-terminal 
PF03424	24	Carbohydrate binding domain (family 17/28)
PF02816	24	Alpha-kinase family
PF02741	24	FTR, proximal lobe
PF02730	24	Aldehyde ferredoxin oxidoreductase, N-terminal domain
PF02630	24	SCO1/SenC
PF02574	24	Homocysteine S-methyltransferase
PF02288	24	Dehydratase medium subunit
PF02207	24	Putative zinc finger in N-recognin (UBR box)
PF02082	24	Transcriptional regulator
PF01314	24	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
PF00958	24	GMP synthase C terminal domain
PF00593	24	TonB dependent receptor
PF00573	24	Ribosomal protein L4/L1 family
PF00572	24	Ribosomal protein L13
PF00445	24	Ribonuclease T2 family
PF00421	24	Photosystem II protein
PF00364	24	Biotin-requiring enzyme
PF00283	24	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00238	24	Ribosomal protein L14p/L23e
PF16656	23	Purple acid Phosphatase, N-terminal domain
PF16347	23	Domain of unknown function (DUF4976)
PF16179	23	Rel homology dimerisation domain
PF15630	23	CENP-S protein
PF14559	23	Tetratricopeptide repeat
PF14535	23	AMP-binding enzyme C-terminal domain
PF14008	23	Iron/zinc purple acid phosphatase-like protein C
PF13669	23	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF13454	23	FAD-NAD(P)-binding
PF13439	23	Glycosyltransferase Family 4
PF13229	23	Right handed beta helix region
PF12840	23	Helix-turn-helix domain
PF11975	23	Family 4 glycosyl hydrolase C-terminal domain
PF09415	23	CENP-S associating Centromere protein X
PF08007	23	Cupin superfamily protein
PF07952	23	Clostridium neurotoxin, Translocation domain
PF07021	23	Methionine biosynthesis protein MetW
PF04551	23	GcpE protein
PF04127	23	DNA / pantothenate metabolism flavoprotein
PF04008	23	Adenosine specific kinase
PF03765	23	CRAL/TRIO, N-terminal domain
PF03663	23	Glycosyl hydrolase family 76 
PF03573	23	outer membrane porin, OprD family
PF02817	23	e3 binding domain
PF02743	23	Cache domain
PF02255	23	PTS system, Lactose/Cellobiose specific IIA subunit
PF02195	23	ParB-like nuclease domain
PF02170	23	PAZ domain
PF01918	23	Alba
PF01910	23	Thiamine-binding protein
PF01569	23	PAP2 superfamily
PF01532	23	Glycosyl hydrolase family 47
PF01393	23	Chromo shadow domain
PF01326	23	Pyruvate phosphate dikinase, PEP/pyruvate binding domain
PF01316	23	Arginine repressor, DNA binding domain
PF01293	23	Phosphoenolpyruvate carboxykinase
PF01267	23	F-actin capping protein alpha subunit
PF01244	23	Membrane dipeptidase (Peptidase family M19)
PF01064	23	Activin types I and II receptor domain
PF00986	23	DNA gyrase B subunit, carboxyl terminus
PF00831	23	Ribosomal L29 protein
PF00808	23	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF00636	23	Ribonuclease III domain
PF00297	23	Ribosomal protein L3
PF00276	23	Ribosomal protein L23
PF00237	23	Ribosomal protein L22p/L17e
PF16654	22	Diaminopimelic acid dehydrogenase C-terminal domain
PF16317	22	Glycosyl hydrolase family 99
PF14832	22	Putative oxalocrotonate tautomerase enzyme
PF13920	22	Zinc finger, C3HC4 type (RING finger)
PF13816	22	Haem-containing dehydratase
PF13686	22	DsrE/DsrF/DrsH-like family
PF13510	22	2Fe-2S iron-sulfur cluster binding domain
PF12893	22	Putative lumazine-binding
PF12408	22	Ribose-5-phosphate isomerase 
PF11838	22	ERAP1-like C-terminal domain
PF11576	22	Protein of unknown function (DUF3236)
PF10634	22	Fe2+ transport protein
PF10294	22	Lysine methyltransferase
PF09339	22	IclR helix-turn-helix domain
PF09180	22	Prolyl-tRNA synthetase, C-terminal
PF08643	22	Fungal family of unknown function (DUF1776)
PF08446	22	PAS fold
PF08389	22	Exportin 1-like protein
PF05028	22	Poly (ADP-ribose) glycohydrolase (PARG)
PF04768	22	NAT, N-acetyltransferase, of N-acetylglutamate synthase
PF04485	22	Phycobilisome degradation protein nblA 
PF04263	22	Thiamin pyrophosphokinase, catalytic domain
PF04073	22	Aminoacyl-tRNA editing domain
PF03967	22	Photosynthetic reaction centre, H-chain N-terminal region
PF03932	22	CutC family
PF02962	22	5-carboxymethyl-2-hydroxymuconate isomerase
PF02911	22	Formyl transferase, C-terminal domain
PF02833	22	DHHA2 domain
PF02567	22	Phenazine biosynthesis-like protein
PF02224	22	Cytidylate kinase
PF02212	22	Dynamin GTPase effector domain
PF01845	22	CcdB protein
PF01658	22	Myo-inositol-1-phosphate synthase
PF01656	22	CobQ/CobB/MinD/ParA nucleotide binding domain
PF01597	22	Glycine cleavage H-protein
PF01507	22	Phosphoadenosine phosphosulfate reductase family
PF01183	22	Glycosyl hydrolases family 25
PF01127	22	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF01121	22	Dephospho-CoA kinase
PF01115	22	F-actin capping protein, beta subunit
PF01029	22	NusB family
PF00957	22	Synaptobrevin
PF00909	22	Ammonium Transporter Family
PF00849	22	RNA pseudouridylate synthase
PF00804	22	Syntaxin
PF00750	22	tRNA synthetases class I (R)
PF00605	22	Interferon regulatory factor transcription factor
PF00511	22	E2 (early) protein, C terminal
PF00466	22	Ribosomal protein L10
PF00304	22	Gamma-thionin family
PF15913	21	Furin-like repeat, cysteine-rich
PF15711	21	Interleukin-like EMT inducer
PF14890	21	Intein splicing domain
PF14534	21	Domain of unknown function (DUF4440)
PF13977	21	BetI-type transcriptional repressor, C-terminal
PF13577	21	SnoaL-like domain
PF13476	21	AAA domain
PF13012	21	Maintenance of mitochondrial structure and function
PF12850	21	Calcineurin-like phosphoesterase superfamily domain
PF11762	21	L-arabinose isomerase C-terminal domain
PF10672	21	S-adenosylmethionine-dependent methyltransferase
PF10401	21	Interferon-regulatory factor 3
PF09173	21	Initiation factor eIF2 gamma, C terminal
PF09154	21	Domain of unknown function (DUF1939)
PF08704	21	tRNA methyltransferase complex GCD14 subunit
PF08562	21	Crisp
PF08402	21	TOBE domain
PF07994	21	Myo-inositol-1-phosphate synthase
PF07831	21	Pyrimidine nucleoside phosphorylase C-terminal domain
PF07720	21	Tetratricopeptide repeat
PF06737	21	Transglycosylase-like domain
PF06172	21	Cupin superfamily (DUF985)
PF05690	21	Thiazole biosynthesis protein ThiG
PF05375	21	Pacifastin inhibitor (LCMII)
PF05257	21	CHAP domain
PF05067	21	Manganese containing catalase
PF03747	21	ADP-ribosylglycohydrolase
PF03714	21	Bacterial pullanase-associated domain
PF03284	21	Phenazine biosynthesis protein A/B
PF03260	21	Lepidopteran low molecular weight (30 kD) lipoprotein
PF03097	21	BRO1-like domain
PF02778	21	tRNA intron endonuclease, N-terminal domain
PF02613	21	Nitrate reductase delta subunit
PF02610	21	L-arabinose isomerase
PF02436	21	Conserved carboxylase domain
PF02357	21	Transcription termination factor nusG
PF02324	21	Glycosyl hydrolase family 70
PF02229	21	Transcriptional Coactivator p15 (PC4)
PF01981	21	Peptidyl-tRNA hydrolase PTH2
PF01883	21	Iron-sulfur cluster assembly protein
PF01867	21	CRISPR associated protein Cas1
PF01795	21	MraW methylase family
PF01753	21	MYND finger
PF01417	21	ENTH domain
PF01412	21	Putative GTPase activating protein for Arf
PF01174	21	SNO glutamine amidotransferase family
PF01142	21	tRNA pseudouridine synthase D (TruD)
PF01085	21	Hedgehog amino-terminal signalling domain
PF00868	21	Transglutaminase family
PF00867	21	XPG I-region
PF00752	21	XPG N-terminal domain
PF00694	21	Aconitase C-terminal domain
PF00540	21	gag gene protein p17 (matrix protein)
PF00490	21	Delta-aminolevulinic acid dehydratase
PF00338	21	Ribosomal protein S10p/S20e
PF00200	21	Disintegrin
PF00198	21	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00154	21	recA bacterial DNA recombination protein
PF17415	20	NigD-like C-terminal beta sandwich domain
PF16799	20	C-terminal membrane-localisation domain of ion-channel, VCN1
PF16278	20	C2HE / C2H2 / C2HC zinc-binding finger
PF14845	20	beta-acetyl hexosaminidase like
PF14681	20	Uracil phosphoribosyltransferase
PF14598	20	PAS domain
PF14522	20	Cytochrome c7 and related cytochrome c
PF13685	20	Iron-containing alcohol dehydrogenase
PF13607	20	Succinyl-CoA ligase like flavodoxin domain
PF13508	20	Acetyltransferase (GNAT) domain
PF13304	20	AAA domain, putative AbiEii toxin, Type IV TA system
PF12667	20	NigD-like N-terminal OB domain
PF12242	20	NAD(P)H binding domain of trans-2-enoyl-CoA reductase
PF12241	20	Trans-2-enoyl-CoA reductase catalytic region
PF11941	20	Domain of unknown function (DUF3459)
PF11717	20	RNA binding activity-knot of a chromodomain 
PF09375	20	Imelysin
PF08797	20	HIRAN domain
PF08761	20	dUTPase
PF07746	20	Aromatic-ring-opening dioxygenase LigAB, LigA subunit
PF07650	20	KH domain
PF07055	20	Enoyl reductase FAD binding domain
PF06769	20	YoeB-like toxin of bacterial type II toxin-antitoxin system
PF05822	20	Pyrimidine 5'-nucleotidase (UMPH-1)
PF05733	20	Tenuivirus/Phlebovirus nucleocapsid protein
PF05456	20	Eukaryotic translation initiation factor 4E binding protein (EIF4EBP)
PF05240	20	APOBEC-like C-terminal domain
PF04879	20	Molybdopterin oxidoreductase Fe4S4 domain
PF04495	20	GRASP55/65 PDZ-like domain 
PF04092	20	SRS domain
PF03976	20	Polyphosphate kinase 2 (PPK2)
PF03959	20	Serine hydrolase (FSH1)
PF03781	20	Sulfatase-modifying factor enzyme 1
PF03770	20	Inositol polyphosphate kinase 
PF03357	20	Snf7
PF03283	20	Pectinacetylesterase
PF02926	20	THUMP domain
PF02906	20	Iron only hydrogenase large subunit, C-terminal domain
PF02902	20	Ulp1 protease family, C-terminal catalytic domain
PF02897	20	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02750	20	Synapsin, ATP binding domain
PF02739	20	5'-3' exonuclease, N-terminal resolvase-like domain
PF02700	20	Phosphoribosylformylglycinamidine (FGAM) synthase
PF02522	20	Aminoglycoside 3-N-acetyltransferase
PF02463	20	RecF/RecN/SMC N terminal domain
PF02428	20	Potato type II proteinase inhibitor family
PF02384	20	N-6 DNA Methylase
PF02309	20	AUX/IAA family
PF02287	20	Dehydratase small subunit
PF02286	20	Dehydratase large subunit
PF02256	20	Iron hydrogenase small subunit
PF02156	20	Glycosyl hydrolase family 26
PF02078	20	Synapsin, N-terminal domain
PF02006	20	Phosphopantothenate/pantothenate synthetase
PF01556	20	DnaJ C terminal domain
PF01479	20	S4 domain
PF01442	20	Apolipoprotein A1/A4/E domain
PF01420	20	Type I restriction modification DNA specificity domain
PF01208	20	Uroporphyrinogen decarboxylase (URO-D)
PF00854	20	POT family
PF00843	20	Arenavirus nucleocapsid N-terminal domain
PF00791	20	ZU5 domain
PF00748	20	Calpain inhibitor
PF00568	20	WH1 domain
PF00447	20	HSF-type DNA-binding
PF00429	20	ENV polyprotein (coat polyprotein)
PF00158	20	Sigma-54 interaction domain
PF00114	20	Pilin (bacterial filament)
PF00007	20	Cystine-knot domain
PF16870	19	2-oxoglutarate dehydrogenase C-terminal
PF16589	19	BRCT domain, a BRCA1 C-terminus domain
PF14815	19	NUDIX domain
PF14759	19	Reductase C-terminal
PF14543	19	Xylanase inhibitor N-terminal
PF13549	19	ATP-grasp domain
PF13523	19	Acetyltransferase (GNAT) domain
PF13085	19	2Fe-2S iron-sulfur cluster binding domain
PF10397	19	Adenylosuccinate lyase C-terminus
PF09827	19	CRISPR associated protein Cas2
PF08536	19	Whirly transcription factor
PF07479	19	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
PF06973	19	Domain of unknown function (DUF1297)
PF06971	19	Putative DNA-binding protein N-terminus
PF06849	19	Protein of unknown function (DUF1246)
PF05194	19	UreE urease accessory protein, C-terminal domain
PF05057	19	Putative serine esterase (DUF676)
PF04864	19	Allinase
PF04452	19	RNA methyltransferase
PF03945	19	delta endotoxin, N-terminal domain
PF03308	19	ArgK protein
PF02918	19	Pertussis toxin, subunit 2 and 3, C-terminal domain
PF02814	19	UreE urease accessory protein, N-terminal domain
PF02423	19	Ornithine cyclodeaminase/mu-crystallin family
PF02341	19	RbcX protein
PF02197	19	Regulatory subunit of type II PKA R-subunit
PF01821	19	Anaphylotoxin-like domain
PF01591	19	6-phosphofructo-2-kinase
PF01386	19	Ribosomal L25p family
PF01337	19	Barstar (barnase inhibitor)
PF01250	19	Ribosomal protein S6
PF01163	19	RIO1 family
PF00807	19	Apidaecin
PF00679	19	Elongation factor G C-terminus
PF00617	19	RasGEF domain
PF00570	19	HRDC domain
PF00532	19	Periplasmic binding proteins and sugar binding domain of LacI family
PF00531	19	Death domain
PF00033	19	Cytochrome b/b6/petB
PF00032	19	Cytochrome b(C-terminal)/b6/petD
PF16767	18	Sensor domain of alginate biosynthesis sensor protein KinB
PF16695	18	Type VI secretion system (T6SS), amidase immunity protein
PF16576	18	Barrel-sandwich domain of CusB or HlyD membrane-fusion
PF16364	18	Cell surface antigen C-terminus
PF16198	18	tRNA pseudouridylate synthase B C-terminal domain
PF15967	18	Nucleoporin FG repeated region
PF14495	18	Cytochrome c-550 domain
PF14489	18	QueF-like protein
PF13765	18	SPRY-associated domain
PF13646	18	HEAT repeats
PF13463	18	Winged helix DNA-binding domain
PF13204	18	Protein of unknown function (DUF4038)
PF11507	18	Ebola virus-specific transcription factor VP30
PF10425	18	C-terminus of bacterial fibrinogen-binding adhesin
PF08787	18	Alginate lyase
PF08645	18	Polynucleotide kinase 3 phosphatase
PF08517	18	Ataxin-1 and HBP1 module (AXH)
PF08391	18	Ly49-like protein, N-terminal region
PF08386	18	TAP-like protein
PF08367	18	Peptidase M16C associated
PF08361	18	MAATS-type transcriptional repressor, C-terminal region
PF08334	18	Type II secretion system (T2SS), protein G
PF08263	18	Leucine rich repeat N-terminal domain
PF08207	18	Elongation factor P (EF-P) KOW-like domain
PF07804	18	HipA-like C-terminal domain
PF07729	18	FCD domain
PF07071	18	KDGP aldolase
PF06962	18	Putative rRNA methylase
PF05724	18	Thiopurine S-methyltransferase (TPMT)
PF05365	18	Ubiquinol-cytochrome C reductase, UQCRX/QCR9 like
PF05138	18	Phenylacetic acid catabolic protein
PF05063	18	MT-A70 
PF04563	18	RNA polymerase beta subunit
PF04386	18	Stringent starvation protein B
PF04166	18	Pyridoxal phosphate biosynthetic protein PdxA
PF04151	18	Bacterial pre-peptidase C-terminal domain
PF04131	18	Putative N-acetylmannosamine-6-phosphate epimerase
PF04051	18	Transport protein particle (TRAPP) component
PF03505	18	Clostridium enterotoxin
PF02978	18	Signal peptide binding domain
PF02966	18	Mitosis protein DIM1
PF02939	18	UcrQ family
PF02921	18	Ubiquinol cytochrome reductase transmembrane region
PF02830	18	V4R domain
PF02590	18	Predicted SPOUT methyltransferase
PF02464	18	Competence-damaged protein
PF02320	18	Ubiquinol-cytochrome C reductase hinge protein
PF02294	18	7kD DNA-binding domain
PF02271	18	Ubiquinol-cytochrome C reductase complex 14kD subunit
PF02233	18	NAD(P) transhydrogenase beta subunit
PF02167	18	Cytochrome C1 family
PF02157	18	Mannose-6-phosphate receptor
PF01870	18	Archaeal holliday junction resolvase (hjc)
PF01869	18	BadF/BadG/BcrA/BcrD ATPase family
PF01694	18	Rhomboid family
PF01520	18	N-acetylmuramoyl-L-alanine amidase
PF01452	18	Rotavirus non structural protein
PF01268	18	Formate--tetrahydrofolate ligase
PF01237	18	Oxysterol-binding protein 
PF01124	18	MAPEG family
PF00874	18	PRD domain
PF00869	18	Flavivirus glycoprotein, central and dimerisation domains
PF00643	18	B-box zinc finger
PF00566	18	Rab-GTPase-TBC domain
PF00512	18	His Kinase A (phospho-acceptor) domain
PF00482	18	Type II secretion system (T2SS), protein F
PF00359	18	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00319	18	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00250	18	Forkhead domain
PF00214	18	Calcitonin / CGRP / IAPP family
PF00153	18	Mitochondrial carrier protein
PF16770	17	Regulator of Ty1 transposition protein 107 BRCT domain
PF14541	17	Xylanase inhibitor C-terminal
PF14113	17	Type VI secretion system (T6SS), amidase effector protein 4
PF13583	17	Metallo-peptidase family M12B Reprolysin-like
PF13486	17	Reductive dehalogenase subunit
PF12867	17	DinB superfamily
PF12348	17	CLASP N terminal
PF10502	17	Signal peptidase, peptidase S26 
PF08773	17	Cathepsin C exclusion domain
PF08558	17	Telomere repeat binding factor (TRF)
PF08548	17	Peptidase M10 serralysin C terminal
PF07745	17	Glycosyl hydrolase family 53
PF07100	17	Anabaena sensory rhodopsin transducer
PF06725	17	3D domain
